rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
778,بِأَنَّهُمۡ,24,kerana sesungguhnya mereka,16,kerana sesungguhnya,1,kerana sesungguhnya mereka,,outside_policy,73.00,9:6:15,(is) because they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
779,شَدِيدُ,15,sangat keras,6,amat/Maha Keras,1,sangat keras,,outside_policy | slash_gloss,73.00,13:13:18,(is) Mighty,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
780,لَّآ,15,tidak,10,belum pernah,1,tidak,,outside_policy,73.00,5:115:13,not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
781,يَدَيۡهِ,15,dua tangannya,6,dua tangan/sebelumnya,1,dua tangannya,,outside_policy | slash_gloss,73.00,5:48:8,his hands,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
782,يَدَيۡهِ,15,dua tangannya,6,tangannya (sebelumnya)(,1,dua tangannya,,outside_policy | parenthetical,73.00,12:111:16,(was) before it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
783,يَسۡمَعُونَ,18,mereka mendengar,12,mendengar,1,mereka mendengar,,outside_policy,73.00,7:179:21,they hear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
784,ٱلسَّبِيلِ,15,jalan,10,Sabil,1,jalan,,outside_policy,73.00,8:41:15,wayfarer,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
785,ٱلۡمُبِينُ,15,yang nyata,6,nyata/terang,1,yang nyata,,outside_policy | slash_gloss,73.00,24:54:23,[the] clear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
786,ٱلۡمُبِينُ,15,yang nyata,6,terang/nyata,1,yang nyata,,outside_policy | slash_gloss,73.00,64:12:11,clear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
787,قَالُواْ,171,mereka berkata,139,berkata mereka,2,mereka berkata,,outside_policy | entity_or_pronoun_shift,72.89,33:22:5 | 61:6:28,they said | they said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
788,قَالُواْ,171,mereka berkata,139,mereka katakan,2,mereka berkata,,outside_policy | entity_or_pronoun_shift,72.89,3:181:14 | 5:85:4,they said | they said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
789,وَلَا,604,dan tidak,329,dan kamu tidak,2,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy | long_gloss | entity_or_pronoun_shift,72.84,20:118:6 | 20:119:5,and not | and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
790,صَٰلِحٗا,28,kebajikan/saleh,11,anak yang saleh,1,kebajikan/saleh,kebaikan | saleh,outside_policy | long_gloss,72.79,7:189:26,a righteous (child),Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
791,مِنۡهُمۡ,56,di antara mereka,22,di antara meraka,1,di antara mereka,,outside_policy | long_gloss,72.79,5:82:21,among them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
792,يَشۡعُرُونَ,21,mereka menyedari,17,mereka sadar,2,mereka menyedari,,outside_policy | entity_or_pronoun_shift,72.79,2:12:7 | 23:56:7,they realize (it) | they perceive,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
793,عَمَّا,44,dari apa,29,dalam waktu,1,dari apa,,outside_policy,72.77,23:40:2,After a little while,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
794,عَمَّا,44,dari apa,29,daripada apa,1,dari apa,,outside_policy,72.77,10:18:28,above what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
795,ٱلۡكِتَٰبَ,74,Kitab,29,catatan/perjanjian,1,Kitab,Al Kitab | kitab,outside_policy | slash_gloss,72.76,24:33:13,the writing,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
796,وَٱلۡأَرۡضِ,57,dan bumi,54,dan di bumi,3,dan bumi,,outside_policy | long_gloss,72.75,27:25:9 | 27:75:6 | 30:18:5,and the earth | and the earth | and the earth,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
797,رَبَّنَآ,26,ya Tuhan kami,21,Tuhan kami,2,ya Tuhan kami,,outside_policy | entity_or_pronoun_shift,72.73,5:114:6 | 33:68:1,our Lord | Our Lord,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
798,هُوَ,239,Dia,129,ia (Al Qur'an),2,Dia,Dialah | dia | ia,outside_policy | parenthetical | long_gloss,72.69,69:41:2 | 86:14:2,it | it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
799,يَكُونُ,18,adalah,7,ada/jadi,1,adalah,,outside_policy | slash_gloss,72.67,9:7:2,can (there) be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
800,يَكُونُ,18,adalah,7,ada/patut,1,adalah,,outside_policy | slash_gloss,72.67,10:15:19,(it) is,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
801,جَمِيعٗا,29,semuanya,19,bersama-sama,1,semuanya,,outside_policy,72.66,4:71:10,all together,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
802,إِلَّا,562,kecuali,366,meliankan,1,kecuali,hanyalah | melainkan | selain,outside_policy,72.54,9:114:6,except,Kekalkan pengecualian sebagai sense utama.
803,لَوۡلَآ,20,mengapa tidak,13,seandainya tidak,1,mengapa tidak,,outside_policy,72.50,25:42:6,if not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
804,لَوۡلَآ,20,mengapa tidak,13,sekiranya tidak,1,mengapa tidak,,outside_policy,72.50,12:94:10,if not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
805,ءَامَنُوٓاْ,39,beriman,37,(mereka) beriman,1,beriman,,outside_policy | parenthetical | entity_or_pronoun_shift | annotative_expansion,72.46,13:31:22,believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
806,ٱلۡكَٰفِرُونَ,17,orang-orang kafir,11,Orang-orang kafir,1,orang-orang kafir,,outside_policy,72.41,54:8:5,the disbelievers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
807,بِـَٔايَٰتِنَا,38,dengan ayat-ayat Kami,20,dengan ayat-ayat kami,2,dengan ayat-ayat Kami,,outside_policy | long_gloss | entity_or_pronoun_shift,72.29,17:98:5 | 23:45:6,in Our Verses | with Our Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
808,بِـَٔايَٰتِنَا,38,dengan ayat-ayat Kami,20,terhadap ayat-ayat Kami,2,dengan ayat-ayat Kami,,outside_policy | long_gloss | entity_or_pronoun_shift,72.29,7:156:29 | 41:28:13,in Our Verses | of Our Verses,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
809,لِّلَّذِينَ,28,bagi orang-orang yang,18,bagi orang-orang,1,bagi orang-orang yang,,outside_policy,72.29,60:5:5,for those who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
810,ٱلصَّـٰلِحِينَ,19,orang-orang yang saleh,15,orang-orang yang soleh,2,orang-orang yang saleh,,outside_policy | long_gloss,72.18,2:130:18 | 6:85:7,the righteous | the righteous,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
811,لَهُۥ,174,baginya,64,bagi mereka,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | entity_or_pronoun_shift,72.03,2:102:62,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
812,لَهُۥ,174,baginya,64,untuknya (Ibrahim),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical,72.03,37:97:3,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
813,لَهُۥ,174,baginya,64,untuknya (Sulaiman),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical,72.03,34:13:2,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
814,وَجَعَلۡنَا,36,dan Kami jadikan,24,dan Kami jadikan/adakan,1,dan Kami jadikan,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift | annotative_expansion,72.00,17:46:1,And We have placed,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
815,وَجَعَلۡنَا,36,dan Kami jadikan,24,dan Kami jadikan/berikan,1,dan Kami jadikan,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift | annotative_expansion,72.00,13:38:6,and We made,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
816,وَجَعَلۡنَا,36,dan Kami jadikan,24,dan Kami jadikan/pasang,1,dan Kami jadikan,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift | annotative_expansion,72.00,34:33:23,And We will put,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
817,لَهَا,33,baginya,12,bagi mereka,1,baginya,kepadanya | padanya,outside_policy | entity_or_pronoun_shift,71.91,38:15:8,for it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
818,لَهَا,33,baginya,12,padanya/di hadapannya,1,baginya,kepadanya | padanya,outside_policy | slash_gloss,71.91,19:17:9,then he assumed for her the likeness,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
819,إِلَىٰٓ,54,kepada,34,hingga,1,kepada,,outside_policy,71.89,7:135:5,till,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
820,إِلَىٰٓ,54,kepada,34,kecuali,1,kepada,,outside_policy,71.89,36:50:5,to,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
821,إِلَىٰٓ,54,kepada,34,pada,1,kepada,,outside_policy,71.89,4:2:11,with,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
822,إِلَىٰٓ,54,kepada,34,sampai pada,1,kepada,,outside_policy,71.89,42:14:16,for,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
823,ٱلنَّاسِ,84,manusia,78,manusia (orang lain),1,manusia,,outside_policy | parenthetical | long_gloss | annotative_expansion,71.86,83:2:5,the people,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
824,لَهُمۡ,204,bagi mereka,135,bagi mereka (memperoleh),1,bagi mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift | annotative_expansion,71.85,37:41:2,for them,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
825,لَهُمۡ,204,bagi mereka,135,bagi mereka (mempunyai),1,bagi mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift | annotative_expansion,71.85,22:46:6,for them,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
826,لَهُمۡ,204,bagi mereka,135,bagi mereka (mendapat),1,bagi mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift | annotative_expansion,71.85,29:23:11,for them,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
827,بِهَا,51,dengannya,32,kepadanya,1,dengannya,,outside_policy,71.82,7:146:16,in it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
828,فِيٓ,86,dalam,31,di/pada,1,dalam,di | pada | tentang,outside_policy | slash_gloss,71.81,34:33:25,on,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
829,وَلِلَّهِ,25,dan milik Allah,9,dan Allah,1,dan milik Allah,,outside_policy | entity_or_pronoun_shift,71.80,57:10:8,while for Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
830,إِنَّهُمۡ,54,sesungguhnya mereka,50,bahawa sesungguhnya mereka,1,sesungguhnya mereka,,outside_policy | long_gloss | entity_or_pronoun_shift | annotative_expansion,71.78,9:56:3,"indeed, they",Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
831,فَكَيۡفَ,16,maka bagaimana,10,maka alangkah,1,maka bagaimana,,outside_policy,71.75,54:16:1,So how,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
832,فَهُوَ,28,maka dia,10,maka ia/syaitan,1,maka dia,maka Dia | maka itu,outside_policy | slash_gloss,71.71,43:36:9,then he,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
833,فَهُوَ,28,maka dia,10,maka/lalu dia,1,maka dia,maka Dia | maka itu,outside_policy | slash_gloss,71.71,16:75:15,so he,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
834,لَّهُمۡ,22,bagi mereka,17,kepada mereka,2,bagi mereka,,outside_policy | entity_or_pronoun_shift,71.68,4:63:12 | 17:28:10,to them | to them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
835,مِنكُمۡ,50,di antara kamu,31,di antaramu,1,di antara kamu,,outside_policy,71.60,2:240:3,among you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
836,وَأُوْلَـٰٓئِكَ,25,dan mereka itu,23,dan mereka itulah,1,dan mereka itu,,outside_policy | long_gloss | entity_or_pronoun_shift | annotative_expansion,71.60,3:104:12,and those ,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
837,عِندَ,98,di sisi,90,di sisi/di dekat,1,di sisi,,outside_policy | slash_gloss | long_gloss | annotative_expansion,71.55,14:37:10,near,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
838,عِندَ,98,di sisi,90,di sisi/di hadapan,1,di sisi,,outside_policy | slash_gloss | long_gloss | annotative_expansion,71.55,39:31:5,before,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
839,لَهُم,69,bagi mereka,53,mereka mempunyai,2,bagi mereka,,outside_policy | entity_or_pronoun_shift,71.54,45:24:14 | 53:28:2,for them | for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
840,وَمِنَ,38,dan dari,19,dan (salah seorang) dari,2,dan dari,,outside_policy | parenthetical | long_gloss,71.50,3:45:19 | 3:46:6,and of | and (he will be) of,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
841,يُؤۡمِنُونَ,86,mereka beriman,53,yang beriman,1,mereka beriman,,outside_policy,71.49,30:37:15,who believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
842,ٱلۡمُؤۡمِنِينَ,70,orang-orang yang beriman,43,orang mukmin,1,orang-orang yang beriman,,outside_policy,71.43,33:37:36,the believers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
843,ٱلۡمُؤۡمِنِينَ,70,orang-orang yang beriman,43,yang beriman,1,orang-orang yang beriman,,outside_policy,71.43,33:59:7,(of) the believers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
844,تَعۡمَلُونَ,82,kamu kerjakan,74,kamu perbuat,3,kamu kerjakan,,outside_policy | entity_or_pronoun_shift,71.41,2:85:49 | 37:96:4 | 52:16:12,you do | you make | do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
845,فِي,1098,dalam,380,di (tengah-tengah),1,dalam,di | di dalam | pada | tentang,outside_policy | parenthetical,71.38,6:122:10,among,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
846,فِي,1098,dalam,380,di(muka),1,dalam,di | di dalam | pada | tentang,outside_policy | parenthetical,71.38,10:83:18,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
847,فِي,1098,dalam,380,di/terhadap,1,dalam,di | di dalam | pada | tentang,outside_policy | slash_gloss,71.38,9:10:3,towards,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
848,فِي,1098,dalam,380,pada/dengan,1,dalam,di | di dalam | pada | tentang,outside_policy | slash_gloss,71.38,27:87:3,[in],Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
849,وَهُمۡ,110,dan mereka,67,kematian,1,dan mereka,,outside_policy,71.27,8:6:11,while they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
850,أَرۡسَلۡنَا,41,Kami telah mengutus,14,Kami mengirimkan,1,Kami telah mengutus,Kami mengutus | Kami utus,outside_policy | entity_or_pronoun_shift,71.24,30:51:2,We sent,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
851,لَآ,48,tidak ada,29,benar-benar,1,tidak ada,,outside_policy,71.12,75:1:1,Nay,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
852,لَآ,48,tidak ada,29,sungguh,1,tidak ada,,outside_policy,71.12,90:1:1,Nay,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
853,تَعۡمَلُونَ,82,kamu kerjakan,74,kamu kerjakan/perbuat,1,kamu kerjakan,,outside_policy | slash_gloss | entity_or_pronoun_shift | annotative_expansion,71.07,7:129:22,you will do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
854,أَمۡ,103,atau,62,bahkan,1,atau,,outside_policy,71.06,43:79:1,Or,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
855,أَمۡ,103,atau,62,bukankah,1,atau,,outside_policy,71.06,43:52:1,Or,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
856,أَمۡ,103,atau,62,hud-hud,1,atau,,outside_policy,71.06,27:20:8,the hoopoe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
857,أَعۡمَٰلَهُمۡ,15,amal perbuatan mereka,5,amal-amal mereka,1,amal perbuatan mereka,,outside_policy | entity_or_pronoun_shift,71.00,99:6:6,their deeds,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
858,أَعۡمَٰلَهُمۡ,15,amal perbuatan mereka,5,perbuatan-perbuatan mereka,1,amal perbuatan mereka,,outside_policy | entity_or_pronoun_shift,71.00,27:4:8,their deeds,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
859,يُؤۡمِنُ,18,ia beriman,6,(ia) beriman,1,ia beriman,,outside_policy | parenthetical,71.00,3:199:6,believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
860,ٱلۡأَوَّلِينَ,30,orang-orang dahulu,10,orang-orang pertama/dahulu,1,orang-orang dahulu,orang-orang terdahulu | terdahulu,outside_policy | slash_gloss,71.00,56:13:3,the former (people),Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
861,ٱلۡأَوَّلِينَ,30,orang-orang dahulu,10,orang-orang pertama/terdahulu,1,orang-orang dahulu,orang-orang terdahulu | terdahulu,outside_policy | slash_gloss,71.00,56:39:3,the former people,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
862,ٱلۡأَوَّلِينَ,30,orang-orang dahulu,10,orang-orang yang dahulu,1,orang-orang dahulu,orang-orang terdahulu | terdahulu,outside_policy | long_gloss,71.00,77:16:3,the former (people),Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
863,ٱلۡأَوَّلِينَ,30,orang-orang dahulu,10,orang-orang yang terdahulu,1,orang-orang dahulu,orang-orang terdahulu | terdahulu,outside_policy | long_gloss,71.00,15:10:7,(of) the former (people),Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
864,مَا,707,apa,419,aku tidak,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,28:38:5,Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
865,مَا,707,apa,419,belum pernah,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,29:28:8,not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
866,مَا,707,apa,419,bukanlah,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,12:31:25,not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
867,مَا,707,apa,419,kita tidak,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,27:49:9,Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
868,مَا,707,apa,419,pengetahuan,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,13:37:13,not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
869,مَا,707,apa,419,saja,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,2:148:8,that,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
870,مَا,707,apa,419,tidak akan,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,50:29:1,Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
871,مَا,707,apa,419,tidak lain,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,28:36:7,Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
872,مَا,707,apa,419,tidakkah,1,apa,apa yang | tidak | tidak ada,outside_policy,70.78,19:28:3,Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
873,فَإِذَا,76,maka apabila,45,maka ia,1,maka apabila,,outside_policy,70.76,21:18:7,behold,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
874,فَإِذَا,76,maka apabila,45,maka ketika,1,maka apabila,,outside_policy,70.76,17:7:8,So when,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
875,فَلَا,145,maka tidak,47,maka dia tidak akan,1,maka tidak,maka jangan | maka janganlah | maka tidak ada,outside_policy | long_gloss,70.72,20:123:15,then not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
876,فَلَا,145,maka tidak,47,maka/kerana tidak,1,maka tidak,maka jangan | maka janganlah | maka tidak ada,outside_policy | slash_gloss,70.72,75:31:1,And not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
877,فَلَا,145,maka tidak,47,maka/mengapa tidak,1,maka tidak,maka jangan | maka janganlah | maka tidak ada,outside_policy | slash_gloss,70.72,2:158:12,so no,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
878,فَلَا,145,maka tidak,47,maka/tetapi tidak,1,maka tidak,maka jangan | maka janganlah | maka tidak ada,outside_policy | slash_gloss,70.72,90:11:1,But not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
879,أَنفُسِهِمۡ,19,diri mereka sendiri,9,diri/jiwa mereka,2,diri mereka sendiri,,outside_policy | slash_gloss | entity_or_pronoun_shift,70.71,2:265:10 | 4:63:14,their (inner) souls | their souls,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
880,يُحِبُّ,39,Dia menyukai,23,mencintai,1,Dia menyukai,,outside_policy,70.69,61:4:3,loves,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
881,تَرَ,31,kamu memperhatikan,10,kamu ketahui,1,kamu memperhatikan,,outside_policy | entity_or_pronoun_shift,70.68,22:18:2,you see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
882,تَرَ,31,kamu memperhatikan,10,lihat/perhatikan,1,kamu memperhatikan,,outside_policy | slash_gloss,70.68,89:6:2,you see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
883,إِنَّمَا,82,sesungguhnya hanyalah,72,sesungguhnya/hanyalah,3,sesungguhnya hanyalah,,outside_policy | slash_gloss,70.67,4:10:7 | 9:55:6 | 9:85:5,only | Only | Only,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
884,ءَايَٰتِهِۦ,17,ayat-ayat-Nya,10,tanda-tanda kekuasaannya,1,ayat-ayat-Nya,,outside_policy,70.65,2:73:9,His Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
885,حَرَّمَ,17,mengharamkan,10,Dia haramkan,1,mengharamkan,,outside_policy,70.65,6:119:14,He (has) forbidden,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
886,حَرَّمَ,17,mengharamkan,10,diharamkan,1,mengharamkan,,outside_policy,70.65,16:115:2,He has forbidden,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
887,حَرَّمَ,17,mengharamkan,10,telah diharamkan,1,mengharamkan,,outside_policy,70.65,9:29:12,Allah has made unlawful,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
888,دُونِهِۦ,17,selain Dia,10,selain,1,selain Dia,,outside_policy,70.65,7:197:4,besides Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
889,وَهُمۡ,110,dan mereka,67,dan/padahal mereka,3,dan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,70.61,8:34:6 | 9:93:6 | 13:30:15,while they | while they | while they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
890,وَٱتَّقُواْ,38,dan bertakwalah,28,dan peliharalah dirimu,2,dan bertakwalah,,outside_policy | long_gloss,70.61,2:281:1 | 3:131:1,And fear | And fear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
891,ٱلۡأٓيَٰتِ,25,ayat-ayat,8,tanda-tanda(kebesaran),1,ayat-ayat,ayat-ayat itu | ayat-ayat/tanda-tanda | tanda-tanda,outside_policy | parenthetical,70.60,6:46:20,the Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
892,بِغَيۡرِ,41,dengan tidak/tanpa,13,bukan/tanpa,1,dengan tidak/tanpa,,outside_policy | slash_gloss,70.51,3:21:8,without,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
