category,severity,key,token,current_bm,suggested_bm,english,note
double_meaning_policy,medium,34:33:25,فِيٓ,di/pada,dalam,on,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,34:34:13,بِهِۦ,dengannya (menyampaikannya),dengannya,with,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,34:52:3,بِهِۦ,kepada-Nya (Allah),dengannya,in it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,35:5:11,وَلَا,dan tidak/janganlah,dan tidak,and (let) not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
double_meaning_policy,medium,36:57:2,فِيهَا,di dalamnya (sorga),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,36:68:4,فِي,dalam/kepada,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,37:19:2,هِيَ,ia/kebangkitan,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,37:95:3,مَا,apa (patung),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,37:97:3,لَهُۥ,untuknya (Ibrahim),baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,38:23:4,لَهُۥ,baginya (mempunyai),baginya,he has,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,38:25:5,لَهُۥ,baginya (dia mempunyai),baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,38:86:7,وَمَآ,dan tidaklah/bukanlah,dan apa,and not,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
double_meaning_policy,medium,39:11:4,أَنۡ,untuk/bahawa,bahawa,that,Jangan terlalu cepat tukar kepada gloss tujuan; kekalkan bentuk dasar kecuali konteks jelas.
double_meaning_policy,medium,39:15:17,هُوَ,dia/hal itu,Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,39:47:12,بِهِۦ,dengannya/itu,dengannya,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,39:49:17,هِيَ,ia/itu,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,39:68:17,فِيهِ,padanya (sangkakala),di dalamnya,[in it],Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,39:68:5,مَن,siapa/apa-apa,siapa,whoever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,39:68:8,وَمَن,dan siapa/apa-apa,dan barang siapa,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,3:109:2,مَا,apa/segala,apa,whatever,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,3:109:5,وَمَا,dan apa/segala,dan apa,and whatever,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,3:112:32,بِمَا,dengan apa/disebabkan,dengan apa,(is) because,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,3:117:2,مَا,apa (harta),apa,(of) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,3:120:19,بِمَا,dengan/terhadap (segala apa),dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,3:144:3,إِلَّا,selain/hanyalah,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,3:151:13,بِهِۦ,dengannya (tentang itu),dengannya,about it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,3:161:2,كَانَ,ada/mungkin,adalah,is,"Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
double_meaning_policy,medium,3:180:10,هُوَ,ia (kekikiran),Dia,(that) it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,3:180:14,هُوَ,ia(kekikiran),Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,3:186:2,فِيٓ,dalam/terhadap,dalam,in,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,3:187:16,بِهِۦ,dengannya (janji),dengannya,[with] it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,3:187:20,مَا,apa/barang,apa,(is) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,3:24:13,مَّا,apa apa (segala)?,apa,what,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,3:37:24,هُوَ,ia (makanan),Dia,This,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,3:52:9,إِلَى,kepada/untuk,kepada,to,Defaultkan kepada `kepada`.
double_meaning_policy,medium,3:61:3,فِيهِ,tentang (kebenaran) itu,di dalamnya,concerning it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,3:75:28,فِي,dalam/terhadap,dalam,concerning,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,3:78:10,وَمَا,dan tidak/bukan,dan apa,and not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,3:79:2,كَانَ,ada/mungkin terjadi,adalah,is,"Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
double_meaning_policy,medium,3:7:20,مَا,apa (ayat-ayat),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,3:83:7,مَن,orang/segala apa,siapa,whatever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,40:73:5,مَا,apa (berhala),apa,(is) that which,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,41:34:8,هِيَ,ia (cara),ia,[it],Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,41:44:12,هُوَ,ia/Al Qur'an,Dia,It (is),Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,42:13:27,مَا,apa (agama) yang,apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,42:16:7,مَا,apa(agama),apa,[what],Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,43:48:6,هِيَ,ia/ayat,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,44:50:3,مَا,apa (azab),apa,(is) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,46:20:5,عَلَى,atas/pada,atas,to,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,46:24:11,هُوَ,itu(azab),Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,46:5:8,مَن,orang/sesembahan,siapa,who,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,47:13:4,هِيَ,ia/negeri itu,ia,which,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,4:116:7,بِهِۦ,dengan-Nya/Dia,dengannya,with Him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:11:3,فِيٓ,dalam/untuk,dalam,concerning,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,4:123:11,بِهِۦ,dengannya (kejahatan itu),dengannya,for it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:12:3,مَا,apa/harta,apa,(of) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,4:147:1,مَّا,apa/mengapa,apa,What,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,4:157:20,فِيهِ,padanya (Isa),di dalamnya,in it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,4:157:26,بِهِۦ,dengannya (tentang yang dibunuh itu),dengannya,about it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:175:6,بِهِۦ,dengan/kepada-Nya,dengannya,to Him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:17:3,عَلَى,atas/di sisi,atas,by,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,4:1:22,بِهِۦ,dengan/pada-Nya,dengannya,[with it],Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:22:9,مَا,apa/masa,apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,4:24:24,بِهِۦ,dengannya (wanita itu),dengannya,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:2:13,إِنَّهُۥ,sesungguhnya ia/hal itu,sesungguhnya Dia,"Indeed, it","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,4:37:7,مَآ,apa (kurnia),apa,what,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
double_meaning_policy,medium,4:55:4,بِهِۦ,dengan-Nya (Allah),dengannya,in him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,4:5:11,فِيهَا,darinya (hasil harta itu),di dalamnya,with it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,4:61:6,مَآ,apa (hukum),apa,what,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
double_meaning_policy,medium,4:66:20,مَا,apa/pelajaran,apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,4:88:11,أَن,bahawa/akan,bahawa,that,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,4:88:21,لَهُۥ,baginya/kepadanya,baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,4:91:9,مَا,apa/kali,apa,that,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,53:54:2,مَا,apa(azab),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,54:4:5,مَا,yang/apa-apa,apa,wherein,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,55:29:2,مَن,orang/makhluk,siapa,whoever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,56:8:3,مَآ,apa/siapa,apa,what,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
double_meaning_policy,medium,57:20:11,فِي,pada/tentang,dalam,of,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,57:9:11,إِلَى,atas/kepada,kepada,into,Defaultkan kepada `kepada`.
double_meaning_policy,medium,58:13:23,بِمَا,dengan/terhadap apa-apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,59:17:4,فِي,pada/dalam,dalam,(will be) in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,5:17:25,وَمَن,dan siapa/orang,dan barang siapa,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,5:24:7,مَّا,selama/selagi,apa,for,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,5:2:39,عَلَى,atas/dalam,atas,in,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,5:30:2,لَهُۥ,baginya (Qabil),baginya,to him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,5:38:6,بِمَا,dengan/bagi apa,dengan apa,for what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,5:3:22,وَمَا,dan apa (binatang),dan apa,and what,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,5:3:24,عَلَى,atas/untuk,atas,on,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,5:3:7,وَمَآ,dan apa (binatang),dan apa,and what,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
double_meaning_policy,medium,5:40:5,لَهُۥ,bagi-Nya (mempunyai),baginya,to Him (belongs),Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,5:45:19,بِهِۦ,dengannya (qisas),dengannya,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,5:49:11,أَن,bahawa/supaya,bahawa,lest,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,5:64:9,بِمَا,dengan/disebabkan apa,dengan apa,for what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,61:7:5,عَلَى,atas/terhadap Allah,atas,upon,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,63:9:4,لَا,tidak/jangan,tidak,(Let) not,Bezakan nafi dan larangan dari binaan fi'il; `tidak` kekal default.
double_meaning_policy,medium,65:2:18,بِهِۦ,dengannya/dengan itu,dengannya,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,66:3:10,بِهِۦ,dengannya/pembicaraan,dengannya,about it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,66:3:21,بِهِۦ,dengannya/hal itu,dengannya,about it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,67:16:10,هِيَ,ia/bumi,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,69:40:1,إِنَّهُۥ,sesungguhnya ia (Al Qur'an),sesungguhnya Dia,"Indeed, it (is)","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,69:41:2,هُوَ,ia (Al Qur'an),Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,69:7:10,فِيهَا,padanya/pada waktu itu,di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,6:100:7,لَهُۥ,bagi-Nya (Allah),baginya,to Him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,6:107:10,وَمَآ,dan tidak/bukan,dan apa,and not,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
double_meaning_policy,medium,6:122:10,فِي,di (tengah-tengah),dalam,among,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,6:122:9,بِهِۦ,dengannya (cahaya itu),dengannya,whereby,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,6:123:14,وَمَا,dan/sedang tidak,dan apa,and not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,6:128:29,مَا,apa (jika),apa,(for) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,6:133:11,مَّا,apa/siapa,apa,(to) whom,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,6:13:4,فِي,pada/di,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,6:141:28,إِنَّهُۥ,sesungguhnya Dia/Allah,sesungguhnya Dia,"Indeed, He","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,6:142:13,إِنَّهُۥ,sesungguhnya ia/syaitan,sesungguhnya Dia,"Indeed, he","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,6:14:21,وَلَا,dan tidak/jangan,dan tidak,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
double_meaning_policy,medium,6:151:10,بِهِۦ,dengan-Nya/Tuhan,dengannya,with Him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,6:158:31,فِيٓ,dalam/pada,dalam,through,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,6:26:10,وَمَا,dan/sedangkan tidak,dan apa,and not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,6:27:5,عَلَى,atas/ke,atas,by,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,6:29:3,هِيَ,ia/kehidupan,ia,it (is),Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,6:31:17,فِيهَا,padanya(kiamat),di dalamnya,concerning it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,6:35:2,كَانَ,ada/menjadi,adalah,is,"Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
double_meaning_policy,medium,6:41:5,مَا,apa(bahaya),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,6:58:7,بِهِۦ,dengannya (kedatangannya),dengannya,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,6:59:17,إِلَّا,melainkan/kecuali,kecuali,but,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,6:60:11,فِيهِ,padanya(siang hari),di dalamnya,therein,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,6:71:34,هُوَ,itulah/Dialah,Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,6:7:12,إِنۡ,jika/tidak lain,jika,Not,"Bezakan bentuk syarat dan nafi berdasarkan konteks, tetapi kekalkan gloss stabil apabila ragu."
double_meaning_policy,medium,6:81:13,بِهِۦ,dengannya/tentang itu,dengannya,for it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,6:88:14,مَّا,apa (amalan),apa,what,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,6:99:8,بِهِۦ,dengannya (air itu),dengannya,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,73:6:4,هِيَ,ia/adalah,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,74:15:3,أَنۡ,bahawa/supaya,bahawa,that,Jangan terlalu cepat tukar kepada gloss tujuan; kekalkan bentuk dasar kecuali konteks jelas.
double_meaning_policy,medium,76:18:2,فِيهَا,di dalamnya (di dalam sorga),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,77:43:4,بِمَا,dengan apa/kerana apa,dengan apa,for what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,78:15:2,بِهِۦ,dengannya/dengan air,dengannya,thereby,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,78:3:3,فِيهِ,di dalamnya/tentang itu,di dalamnya,(are) concerning it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,79:13:2,هِيَ,ia/pengembalian,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,79:39:3,هِيَ,ia/neraka,ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,7:107:4,هِيَ,ia (tongkat),ia,it,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,7:145:2,لَهُۥ,untuknya (Musa),baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,7:158:10,لَهُۥ,bagi-Nya/mempunyai,baginya,for Whom,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,7:25:2,فِيهَا,di dalamnya (bumi),di dalamnya,In it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,7:32:13,هِيَ,ia/semuanya,ia,They,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,7:53:3,إِلَّا,kecuali/hanya,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,7:71:10,فِيٓ,dalam/tentang,dalam,concerning,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,7:80:7,مَا,tidak/belum pernah,apa,not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,81:22:1,وَمَا,dan tidak/bukanlah,dan apa,And not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,8:35:11,بِمَا,dengan apa/sebab,dengan apa,because,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,8:35:2,كَانَ,ada/lain,adalah,was,"Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
double_meaning_policy,medium,8:38:8,مَّا,apa/dosa-dosa,apa,what,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,8:39:14,بِمَا,dengan /terhadap apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,97:4:4,فِيهَا,padanya/pada malam,di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,97:5:2,هِيَ,ia/malam itu,ia,it (is),Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,9:108:7,عَلَى,atas (dasar),atas,on,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,9:10:3,فِي,di/terhadap,dalam,towards,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,9:116:3,لَهُۥ,bagi/kepunyaan-Nya,baginya,to Him (belongs),Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,9:118:10,بِمَا,dengan apa/padahal,dengan apa,though,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,9:129:8,إِلَّا,selain/kecuali,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,9:17:2,كَانَ,ada/patut,adalah,(It) is not,"Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
double_meaning_policy,medium,9:61:6,هُوَ,ia (Nabi),Dia,He is,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,9:72:22,هُوَ,ia/itulah,Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,9:92:11,مَآ,apa/sesuatu,apa,what,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
interpretive_connector,medium,10:13:8,وَجَآءَتۡهُمۡ,dan/padahal telah datang kepada mereka,review against token-faithful gloss,and came to them,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,10:51:8,وَقَدۡ,dan sungguh/padahal,review against token-faithful gloss,And certainly,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,10:91:2,وَقَدۡ,dan/padahal sesungguhnya,review against token-faithful gloss,And verily,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,11:72:4,وَأَنَا۠,dan/padahal aku,review against token-faithful gloss,while I am,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,12:102:7,وَمَا,dan/padahal tidak,review against token-faithful gloss,And not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,12:8:9,وَنَحۡنُ,dan /padahal kita,review against token-faithful gloss,while we,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
